data;

set N := 1 2 3 4 5 6 7 8 9 10;

set A :=
 (1,2) (1,3) (1,4) (1,5)
 (2,3)
 (3,4) (3,5) (3,10)
 (4,5) (4,7)
 (5,6) (5,7) (5,10)
 (6,1) (6,7) (6,10)
 (7,3) (7,8) (7,9)
 (8,9)
 (9,10);

# limit czasu T = 15
param Tlim := 15;

# wêze³ 1 – Ÿród³o, wêze³ 10 – ujœcie
param b :=
 1   1
 10 -1 ;

# koszty c_ij
param c :=
 [1,2] 3
 [1,3] 4
 [1,4] 7
 [1,5] 8
 [2,3] 2
 [3,4] 4
 [3,5] 2
 [3,10] 6
 [4,5] 1
 [4,7] 3
 [5,6] 5
 [5,7] 3
 [5,10] 8
 [6,1] 5
 [6,7] 2
 [6,10] 7
 [7,3] 4
 [7,8] 3
 [7,9] 1
 [8,9] 1
 [9,10] 2 ;

# czasy t_ij
param t :=
 [1,2] 4
 [1,3] 9
 [1,4] 10
 [1,5] 12
 [2,3] 3
 [3,4] 6
 [3,5] 2
 [3,10] 11
 [4,5] 1
 [4,7] 5
 [5,6] 6
 [5,7] 3
 [5,10] 10
 [6,1] 8
 [6,7] 2
 [6,10] 11
 [7,3] 6
 [7,8] 5
 [7,9] 1
 [8,9] 2
 [9,10] 2 ;

end;
